id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1281995890975076352,1281980190915063809,1594486613000,2020-07-11,23:56:53,WIB,1255541454740414469,jenkkelin_,Lava Pijar 📍,,"Dukung 
#GerakanPemdaBagiMasker","['tehubed', 'mrcattoless', 'ganjarpranowo']",[],[],0,0,0,['#gerakanpemdabagimasker'],[],https://twitter.com/Jenkkelin_/status/1281995890975076352,False,,0,,,,,,,"[{'user_id': '1255541454740414469', 'username': 'Jenkkelin_'}, {'user_id': '1259422514649812993', 'username': 'TehUbed'}, {'user_id': '899904731379712000', 'username': 'MrCattoless'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281995317060055040,1281995317060055040,1594486476000,2020-07-11,23:54:36,WIB,1259422514649812993,tehubed,Cebby NKRI 🇲🇨,,"Aksi bagi² masker oleh Gubernur Jateng, @ganjarpranowo  terus dilakukan. Dengan gowes keliling kampung² membagikan masker kain kepada warga secara gratis.
@kemendagri
#GerakanPemdaBagiMasker pic.twitter.com/6jEOOZ8Vmh","['ganjarpranowo', 'kemendagri']",[],['https://pbs.twimg.com/media/EcqP8CBUcAAXS-w.jpg'],0,5,5,['#gerakanpemdabagimasker'],[],https://twitter.com/TehUbed/status/1281995317060055040,False,,0,,,,,,,"[{'user_id': '1259422514649812993', 'username': 'TehUbed'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}, {'user_id': '1113646305585188864', 'username': 'kemendagri'}]",,,,
1281995050226839553,1281865886635188224,1594486412000,2020-07-11,23:53:32,WIB,1255541454740414469,jenkkelin_,Lava Pijar 📍,,"Dukung 
#GerakanPemdaBagiMasker","['tehubed', 'fagtng', 'ganjarpranowo', 'airinairin_nz']",[],[],1,0,1,['#gerakanpemdabagimasker'],[],https://twitter.com/Jenkkelin_/status/1281995050226839553,False,,0,,,,,,,"[{'user_id': '1255541454740414469', 'username': 'Jenkkelin_'}, {'user_id': '1259422514649812993', 'username': 'TehUbed'}, {'user_id': '972357839279673344', 'username': 'FaGtng'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}, {'user_id': '1257347831683149824', 'username': 'AirinAirin_NZ'}]",,,,
1281994843477032960,1281911038351339522,1594486363000,2020-07-11,23:52:43,WIB,1206443716656807937,joklutuk,Joklutuk@wangetarrr_r nya tiga,,"Calpen
Calon penerus","['airinairin_nz', 'jokowi', 'ganjarpranowo']",[],[],0,0,0,[],[],https://twitter.com/joklutuk/status/1281994843477032960,False,,0,,,,,,,"[{'user_id': '1206443716656807937', 'username': 'joklutuk'}, {'user_id': '1257347831683149824', 'username': 'AirinAirin_NZ'}, {'user_id': '366987179', 'username': 'jokowi'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281994694717652992,1281883872179810310,1594486328000,2020-07-11,23:52:08,WIB,1255541454740414469,jenkkelin_,Lava Pijar 📍,,"Dukung 
#GerakanPemdaBagiMasker","['wisanggeni_084', 'ganjarpranowo']",[],[],0,0,0,['#gerakanpemdabagimasker'],[],https://twitter.com/Jenkkelin_/status/1281994694717652992,False,,0,,,,,,,"[{'user_id': '1255541454740414469', 'username': 'Jenkkelin_'}, {'user_id': '112953652', 'username': 'wisanggeni_084'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281994636215455744,1281980190915063809,1594486314000,2020-07-11,23:51:54,WIB,1259422514649812993,tehubed,Cebby NKRI 🇲🇨,,"Bagus sekali
#GerakanPemdaBagiMasker","['mrcattoless', 'ganjarpranowo']",[],[],1,1,1,['#gerakanpemdabagimasker'],[],https://twitter.com/TehUbed/status/1281994636215455744,False,,0,,,,,,,"[{'user_id': '1259422514649812993', 'username': 'TehUbed'}, {'user_id': '899904731379712000', 'username': 'MrCattoless'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281994029580775424,1281882768608120833,1594486169000,2020-07-11,23:49:29,WIB,118821544,styapramana,Stya Pramana,,"TUKANG NGIBULLL,,,, WAN JEMBOOTTTT,,,,, 🤦
STOP Z,,,,,
GABENEERRRR,,,,,!!!!
@aniesbaswedan 😂😂😂
@pandji @saefullah112
@RadioElshinta
@dprddkijakarta @voaindonesia
@PrasetyoEdi_ @ganjarpranowo @psi_id @PDI_Perjuangan
 https://metro.tempo.co/read/1363700/ahok-jedi-jangan-jadi-alasan-izinkan-reklamasi-ancol/full?view=ok … pic.twitter.com/7hdk72KFKq","['ekowboy2', 'aniesbaswedan', 'pandji', 'saefullah112', 'radioelshinta', 'dprddkijakarta', 'voaindonesia', 'prasetyoedi_', 'ganjarpranowo', 'psi_id', 'pdi_perjuangan']",['https://metro.tempo.co/read/1363700/ahok-jedi-jangan-jadi-alasan-izinkan-reklamasi-ancol/full?view=ok'],"['https://pbs.twimg.com/media/EcqOwa0VcAIS1i6.jpg', 'https://pbs.twimg.com/media/EcqOxQFVAAAah6s.jpg']",0,0,0,[],[],https://twitter.com/StyaPramana/status/1281994029580775424,False,,0,,,,,,,"[{'user_id': '118821544', 'username': 'StyaPramana'}, {'user_id': '1006827831995711488', 'username': 'ekowboy2'}, {'user_id': '110312278', 'username': 'aniesbaswedan'}, {'user_id': '14305560', 'username': 'pandji'}, {'user_id': '1675574983', 'username': 'saefullah112'}, {'user_id': '121640063', 'username': 'RadioElshinta'}, {'user_id': '4677002173', 'username': 'dprddkijakarta'}, {'user_id': '75077164', 'username': 'voaindonesia'}, {'user_id': '1088295819617267713', 'username': 'PrasetyoEdi_'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}, {'user_id': '3102442327', 'username': 'psi_id'}, {'user_id': '153407983', 'username': 'PDI_Perjuangan'}]",,,,
1281994006142939137,1281865886635188224,1594486164000,2020-07-11,23:49:24,WIB,1259422514649812993,tehubed,Cebby NKRI 🇲🇨,,"#GerakanPemdaBagiMasker 
Pakai masker kain y.. pic.twitter.com/NLuqLmoTNP","['fagtng', 'ganjarpranowo', 'airinairin_nz']",[],[],1,3,3,['#gerakanpemdabagimasker'],[],https://twitter.com/TehUbed/status/1281994006142939137,False,,1,,,,,,,"[{'user_id': '1259422514649812993', 'username': 'TehUbed'}, {'user_id': '972357839279673344', 'username': 'FaGtng'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}, {'user_id': '1257347831683149824', 'username': 'AirinAirin_NZ'}]",,,,
1281993377328726018,1281921599747153920,1594486014000,2020-07-11,23:46:54,WIB,3117290305,r19981129,Rusin,,"Hidup sehat anjuran pemerintah yang saya dan keluarga saya taati, pak.
Kami percaya bahwa pemerintah tak menutup mata dengan keadaan ini, pun karena pemerintah dalam hal ini memiliki kedudukan (secara struktural) lebih tinggi dari opsi lain yang bapak tuliskan.",['ganjarpranowo'],[],[],0,0,0,[],[],https://twitter.com/R19981129/status/1281993377328726018,False,,0,,,,,,,"[{'user_id': '3117290305', 'username': 'R19981129'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
1281993376976343041,1281856739416006658,1594486014000,2020-07-11,23:46:54,WIB,1255541454740414469,jenkkelin_,Lava Pijar 📍,,"Dukung 
#GerakanPemdaBagiMasker","['andy_nomicin', 'ganjarpranowo']",[],[],0,1,1,['#gerakanpemdabagimasker'],[],https://twitter.com/Jenkkelin_/status/1281993376976343041,False,,0,,,,,,,"[{'user_id': '1255541454740414469', 'username': 'Jenkkelin_'}, {'user_id': '974476400211079168', 'username': 'andy_nomicin'}, {'user_id': '109762193', 'username': 'ganjarpranowo'}]",,,,
